economy,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
AFG,198.4,194.5,190.7,186.7,182.7,178.8,174.9,170.8,166.5,162.4,158.2,153.9,149.6,145.4,141.3,137.2,133.0,128.9,124.8,120.8,117.1,113.5,110.1,106.9,103.9,101.0,98.2,95.6,93.0,90.5,87.9,85.3,82.7,80.0,77.3,74.6,71.9,69.2,66.7,64.2,61.8,59.5,57.3,55.2,53.2,51.3,49.5,47.9,46.4,45.0
ARG,58.3,57.5,56.4,54.8,52.8,50.1,47.0,43.6,40.1,36.9,34.2,31.9,29.9,28.2,26.9,26.1,25.7,25.6,25.5,25.3,24.9,24.2,23.3,22.4,21.5,20.5,19.7,18.9,18.2,17.5,16.9,16.4,15.8,15.3,14.8,14.4,14.0,13.7,13.3,12.9,12.4,11.9,11.3,10.8,10.2,9.7,9.2,8.6,8.1,7.6
BEL,19.7,18.7,17.7,16.7,15.7,14.9,14.1,13.5,12.9,12.3,11.7,11.2,10.7,10.2,9.8,9.5,9.2,8.9,8.6,8.4,8.1,7.7,7.3,6.8,6.3,5.9,5.5,5.2,5.0,4.8,4.6,4.4,4.3,4.2,4.0,4.0,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.4
BRA,99.9,97.5,95.1,92.8,90.4,87.9,85.3,82.6,79.7,76.6,73.5,70.5,67.7,65.2,62.8,60.6,58.6,56.6,54.6,52.6,50.6,48.4,46.0,43.5,41.1,38.7,36.5,34.3,32.3,30.4,28.5,26.8,25.1,23.5,22.0,20.7,19.5,18.4,17.5,16.7,16.0,15.4,14.9,14.6,14.2,15.0,13.8,13.6,13.3,13.1
CAN,17.6,16.7,15.9,15.0,14.1,13.3,12.5,11.7,11.0,10.3,9.7,9.2,8.7,8.3,8.0,7.7,7.5,7.3,7.0,6.8,6.6,6.4,6.2,6.0,5.8,5.6,5.5,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.1,5.1,5.0,5.0,4.9,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.4
CHE,14.3,13.6,12.8,12.0,11.2,10.5,9.8,9.2,8.8,8.4,8.1,7.8,7.6,7.4,7.3,7.2,7.1,7.0,6.8,6.6,6.4,6.1,5.8,5.5,5.2,5.1,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.4,4.3,4.2,4.1,4.0,4.0,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.5
CHL,66.1,65.2,63.4,59.7,54.1,47.5,41.0,35.3,30.9,27.8,25.2,22.8,20.7,19.4,18.9,18.7,18.5,18.0,17.2,16.1,14.9,13.7,12.7,11.8,11.1,10.6,10.3,10.1,9.8,9.2,8.7,8.3,8.1,7.9,7.7,7.6,7.6,7.6,7.5,7.4,7.3,7.2,7.1,6.9,6.7,6.5,6.4,6.2,6.0,5.8
CHN,76.0,72.5,68.9,65.3,61.6,58.1,54.8,51.7,49.1,46.9,45.1,43.6,42.6,42.1,41.8,41.9,42.1,42.4,42.7,42.7,42.4,41.8,40.9,39.7,38.4,36.9,35.4,33.7,31.9,29.9,27.8,25.6,23.4,21.4,19.4,17.7,16.2,14.8,13.6,12.5,11.5,10.6,9.8,9.0,8.3,7.6,7.0,6.4,5.9,5.5
CMR,121.6,118.5,116.3,114.9,114.2,113.6,112.9,111.8,110.1,107.8,105.0,101.8,98.4,94.9,91.6,88.8,86.6,85.2,84.5,84.7,85.5,86.7,88.0,89.1,89.9,90.4,90.5,90.2,89.1,87.6,85.8,83.7,81.7,79.7,78.1,76.2,74.6,72.7,71.1,68.6,66.6,64.2,61.6,59.5,57.0,55.2,53.2,51.3,49.9,48.3
COL,68.1,65.7,63.2,60.7,58.1,55.5,52.8,50.2,47.7,45.2,42.8,40.6,38.5,36.7,35.0,33.5,32.2,31.1,30.1,29.2,28.3,27.5,26.6,25.8,24.9,24.1,23.3,22.6,21.8,21.2,20.6,19.9,19.4,18.9,18.3,17.8,17.2,16.7,16.2,15.7,15.2,14.7,14.3,13.8,13.4,12.9,12.5,12.1,11.7,11.4
