,country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)"
0,AFG,2021,,
1,AFG,2020,66.744,63.708
2,AFG,2019,66.388,63.382
3,AFG,2018,66.026,63.047
4,AFG,2017,65.656,62.701
5,AFG,2016,65.275,62.343
6,AFG,2015,64.877,61.965
7,AFG,2014,64.453,61.563
8,AFG,2013,63.999,61.133
9,AFG,2012,63.514,60.675
10,AFG,2011,63.0,60.19
11,AFG,2010,62.459,59.683
12,AFG,2009,61.898,59.159
13,AFG,2008,61.326,58.626
14,AFG,2007,60.751,58.092
15,AFG,2006,60.183,57.562
16,AFG,2005,59.628,57.044
17,AFG,2004,59.093,56.542
18,AFG,2003,58.578,56.056
19,AFG,2002,58.08,55.583
20,AFG,2001,57.596,55.119
21,AFG,2000,57.12,54.663
22,AFG,1999,56.645,54.21
23,AFG,1998,56.162,53.753
24,AFG,1997,55.663,53.285
25,AFG,1996,55.141,52.798
26,AFG,1995,54.592,52.287
27,AFG,1994,54.012,51.746
28,AFG,1993,53.405,51.172
29,AFG,1992,52.774,50.57
30,AFG,1991,52.119,49.938
31,AFG,1990,51.442,49.281
32,AFG,1989,50.742,48.601
33,AFG,1988,50.023,47.906
34,AFG,1987,49.29,47.204
35,AFG,1986,48.55,46.499
36,AFG,1985,47.807,45.796
37,AFG,1984,47.066,45.097
38,AFG,1983,46.331,44.403
39,AFG,1982,45.607,43.715
40,AFG,1981,44.899,43.037
41,AFG,1980,44.209,42.372
42,AFG,1979,43.541,41.723
43,AFG,1978,42.894,41.09
44,AFG,1977,42.265,40.473
45,AFG,1976,41.656,39.874
46,AFG,1975,41.064,39.293
47,AFG,1974,40.49,38.729
48,AFG,1973,39.931,38.18
49,AFG,1972,39.385,37.644
50,AFG,1971,38.851,37.12
51,AFG,1970,38.327,36.607
52,AFG,1969,37.815,36.106
53,AFG,1968,37.314,35.615
54,AFG,1967,36.823,35.133
55,AFG,1966,36.338,34.656
56,AFG,1965,35.853,34.18
57,AFG,1964,35.364,33.7
58,AFG,1963,34.866,33.216
59,AFG,1962,34.359,32.724
60,AFG,1961,33.84,32.224
61,AFG,1960,33.314,31.718
62,IND,2021,,
63,IND,2020,71.202,68.678
64,IND,2019,70.95,68.464
65,IND,2018,70.692,68.239
66,IND,2017,70.425,68.0
67,IND,2016,70.142,67.745
68,IND,2015,69.835,67.468
69,IND,2014,69.491,67.167
70,IND,2013,69.106,66.84
71,IND,2012,68.68,66.488
72,IND,2011,68.218,66.115
73,IND,2010,67.73,65.723
74,IND,2009,67.231,65.32
75,IND,2008,66.735,64.91
76,IND,2007,66.253,64.499
77,IND,2006,65.793,64.091
78,IND,2005,65.357,63.689
79,IND,2004,64.943,63.293
80,IND,2003,64.543,62.902
81,IND,2002,64.145,62.511
82,IND,2001,63.745,62.121
83,IND,2000,63.334,61.729
84,IND,1999,62.906,61.335
85,IND,1998,62.46,60.936
86,IND,1997,61.992,60.531
87,IND,1996,61.503,60.121
88,IND,1995,60.991,59.703
89,IND,1994,60.454,59.277
90,IND,1993,59.9,58.843
91,IND,1992,59.337,58.405
92,IND,1991,58.774,57.967
93,IND,1990,58.226,57.536
94,IND,1989,57.707,57.122
95,IND,1988,57.226,56.727
96,IND,1987,56.782,56.352
97,IND,1986,56.373,55.994
98,IND,1985,55.988,55.647
99,IND,1984,55.616,55.302
100,IND,1983,55.237,54.949
101,IND,1982,54.835,54.577
102,IND,1981,54.397,54.182
103,IND,1980,53.912,53.758
104,IND,1979,53.371,53.305
105,IND,1978,52.779,52.828
106,IND,1977,52.142,52.33
107,IND,1976,51.466,51.812
108,IND,1975,50.759,51.275
109,IND,1974,50.029,50.719
110,IND,1973,49.29,50.146
111,IND,1972,48.55,49.558
112,IND,1971,47.818,48.958
113,IND,1970,47.099,48.35
114,IND,1969,46.393,47.737
115,IND,1968,45.698,47.123
116,IND,1967,45.012,46.509
117,IND,1966,44.335,45.898
118,IND,1965,43.669,45.29
119,IND,1964,43.015,44.685
120,IND,1963,42.375,44.081
121,IND,1962,41.748,43.477
122,IND,1961,41.133,42.872
123,IND,1960,40.529,42.266
124,MYS,2021,,
125,MYS,2020,78.458,74.381
126,MYS,2019,78.317,74.234
127,MYS,2018,78.167,74.075
128,MYS,2017,78.008,73.903
129,MYS,2016,77.84,73.718
130,MYS,2015,77.663,73.521
131,MYS,2014,77.48,73.317
132,MYS,2013,77.293,73.109
133,MYS,2012,77.105,72.902
134,MYS,2011,76.918,72.698
135,MYS,2010,76.732,72.497
136,MYS,2009,76.549,72.299
137,MYS,2008,76.369,72.1
138,MYS,2007,76.188,71.901
139,MYS,2006,76.008,71.702
140,MYS,2005,75.824,71.505
141,MYS,2004,75.632,71.311
142,MYS,2003,75.43,71.122
143,MYS,2002,75.22,70.94
144,MYS,2001,75.003,70.765
145,MYS,2000,74.786,70.603
146,MYS,1999,74.575,70.456
147,MYS,1998,74.378,70.326
148,MYS,1997,74.195,70.208
149,MYS,1996,74.024,70.095
150,MYS,1995,73.86,69.977
151,MYS,1994,73.691,69.843
152,MYS,1993,73.51,69.682
153,MYS,1992,73.31,69.491
154,MYS,1991,73.09,69.268
155,MYS,1990,72.858,69.017
156,MYS,1989,72.624,68.747
157,MYS,1988,72.397,68.471
158,MYS,1987,72.183,68.195
159,MYS,1986,71.977,67.922
160,MYS,1985,71.773,67.649
161,MYS,1984,71.555,67.368
162,MYS,1983,71.312,67.072
163,MYS,1982,71.035,66.757
164,MYS,1981,70.722,66.426
165,MYS,1980,70.379,66.09
166,MYS,1979,70.013,65.761
167,MYS,1978,69.638,65.449
168,MYS,1977,69.261,65.159
169,MYS,1976,68.884,64.889
170,MYS,1975,68.504,64.631
171,MYS,1974,68.112,64.373
172,MYS,1973,67.7,64.1
173,MYS,1972,67.264,63.801
174,MYS,1971,66.804,63.472
175,MYS,1970,66.329,63.114
176,MYS,1969,65.847,62.729
177,MYS,1968,65.368,62.328
178,MYS,1967,64.897,61.918
179,MYS,1966,64.433,61.5
180,MYS,1965,63.971,61.077
181,MYS,1964,63.503,60.653
182,MYS,1963,63.017,60.224
183,MYS,1962,62.506,59.783
184,MYS,1961,61.965,59.324
185,MYS,1960,61.396,58.838
186,KOR,2021,,
187,KOR,2020,86.5,80.5
188,KOR,2019,86.3,80.3
189,KOR,2018,85.7,79.7
190,KOR,2017,85.7,79.7
191,KOR,2016,85.4,79.3
192,KOR,2015,85.2,79.0
193,KOR,2014,85.0,78.6
194,KOR,2013,84.6,78.1
195,KOR,2012,84.2,77.6
196,KOR,2011,84.0,77.3
197,KOR,2010,83.6,76.8
198,KOR,2009,83.4,76.7
199,KOR,2008,83.0,76.2
200,KOR,2007,82.5,75.9
201,KOR,2006,82.1,75.4
202,KOR,2005,81.6,74.9
203,KOR,2004,81.2,74.3
204,KOR,2003,80.8,73.8
205,KOR,2002,80.3,73.4
206,KOR,2001,80.1,72.9
207,KOR,2000,79.7,72.3
208,KOR,1999,79.2,71.8
209,KOR,1998,79.0,71.2
210,KOR,1997,78.7,70.7
211,KOR,1996,78.3,70.2
212,KOR,1995,77.9,69.7
213,KOR,1994,77.7,69.3
214,KOR,1993,77.3,68.9
215,KOR,1992,76.8,68.4
216,KOR,1991,76.4,67.9
217,KOR,1990,75.9,67.5
218,KOR,1989,75.3,67.0
219,KOR,1988,74.8,66.5
220,KOR,1987,74.3,65.9
