,country,year,"Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant, male (per 1,000 live births)"
0,AFG,2021,,
1,AFG,2020,41.5,48.1
2,AFG,2019,42.9,49.6
3,AFG,2018,44.5,51.1
4,AFG,2017,46.1,52.8
5,AFG,2016,47.7,54.6
6,AFG,2015,49.6,56.5
7,AFG,2014,51.6,58.6
8,AFG,2013,53.6,60.8
9,AFG,2012,55.7,63.0
10,AFG,2011,57.9,65.4
11,AFG,2010,60.3,67.9
12,AFG,2009,62.6,70.6
13,AFG,2008,65.0,73.3
14,AFG,2007,67.5,76.1
15,AFG,2006,70.1,78.9
16,AFG,2005,72.7,81.7
17,AFG,2004,75.3,84.6
18,AFG,2003,77.8,87.3
19,AFG,2002,80.4,90.1
20,AFG,2001,82.7,92.9
21,AFG,2000,85.0,95.6
22,AFG,1999,87.4,98.3
23,AFG,1998,89.9,101.0
24,AFG,1997,92.4,103.8
25,AFG,1996,95.1,106.7
26,AFG,1995,98.1,109.4
27,AFG,1994,101.1,112.5
28,AFG,1993,104.3,115.7
29,AFG,1992,107.7,119.0
30,AFG,1991,111.1,122.7
31,AFG,1990,114.9,126.5
32,AFG,1989,118.7,130.6
33,AFG,1988,122.6,134.8
34,AFG,1987,126.5,139.2
35,AFG,1986,130.6,143.5
36,AFG,1985,134.5,147.8
37,AFG,1984,138.5,152.0
38,AFG,1983,142.5,156.3
39,AFG,1982,146.5,160.7
40,AFG,1981,150.6,165.2
41,AFG,1980,154.6,169.6
42,AFG,1979,158.6,174.1
43,AFG,1978,162.6,178.5
44,AFG,1977,166.5,182.7
45,AFG,1976,170.3,186.9
46,AFG,1975,174.0,191.0
47,AFG,1974,177.7,195.1
48,AFG,1973,181.3,199.5
49,AFG,1972,185.1,203.5
50,AFG,1971,188.8,207.5
51,AFG,1970,192.4,211.5
52,AFG,1969,196.1,215.6
53,AFG,1968,199.6,219.6
54,AFG,1967,203.2,223.6
55,AFG,1966,207.0,227.7
56,AFG,1965,210.6,231.7
57,AFG,1964,214.2,235.9
58,AFG,1963,217.9,240.0
59,AFG,1962,221.8,244.3
60,AFG,1961,225.8,248.4
61,AFG,1960,,
62,IND,2021,,
63,IND,2020,26.8,27.2
64,IND,2019,28.2,28.4
65,IND,2018,29.7,29.8
66,IND,2017,31.5,31.3
67,IND,2016,33.3,33.0
68,IND,2015,35.2,34.7
69,IND,2014,37.2,36.5
70,IND,2013,39.3,38.3
71,IND,2012,41.5,40.3
72,IND,2011,43.7,42.3
73,IND,2010,46.0,44.3
74,IND,2009,48.0,46.5
75,IND,2008,50.2,48.6
76,IND,2007,52.4,50.7
77,IND,2006,54.4,52.9
78,IND,2005,56.6,54.8
79,IND,2004,58.4,57.2
80,IND,2003,61.0,58.9
81,IND,2002,63.0,61.3
82,IND,2001,64.9,63.9
83,IND,2000,66.9,66.4
84,IND,1999,68.7,69.2
85,IND,1998,71.3,71.2
86,IND,1997,73.3,73.7
87,IND,1996,75.2,76.3
88,IND,1995,77.2,78.7
89,IND,1994,78.9,81.1
90,IND,1993,80.6,83.5
91,IND,1992,82.4,85.9
92,IND,1991,84.3,88.4
93,IND,1990,86.3,90.8
94,IND,1989,88.6,93.2
95,IND,1988,90.9,95.7
96,IND,1987,93.4,98.3
97,IND,1986,95.5,101.1
98,IND,1985,97.6,104.0
99,IND,1984,99.9,106.6
100,IND,1983,102.3,109.3
101,IND,1982,105.1,111.9
102,IND,1981,108.0,114.8
103,IND,1980,111.1,118.0
104,IND,1979,114.3,121.4
105,IND,1978,117.4,124.9
106,IND,1977,120.6,128.6
107,IND,1976,123.9,131.9
108,IND,1975,127.1,134.8
109,IND,1974,130.1,137.5
110,IND,1973,132.8,139.9
111,IND,1972,135.0,142.4
112,IND,1971,136.9,144.7
113,IND,1970,138.7,146.9
114,IND,1969,140.4,148.8
115,IND,1968,142.0,150.7
116,IND,1967,143.6,152.4
117,IND,1966,145.3,154.2
118,IND,1965,147.1,155.9
119,IND,1964,148.8,157.7
120,IND,1963,150.7,159.6
121,IND,1962,152.7,161.7
122,IND,1961,154.9,163.9
123,IND,1960,157.2,166.2
124,MYS,2021,,
125,MYS,2020,6.8,8.0
126,MYS,2019,6.7,7.9
127,MYS,2018,6.6,7.8
128,MYS,2017,6.5,7.6
129,MYS,2016,6.4,7.5
130,MYS,2015,6.3,7.5
131,MYS,2014,6.2,7.4
132,MYS,2013,6.1,7.4
133,MYS,2012,6.1,7.5
134,MYS,2011,6.2,7.5
135,MYS,2010,6.2,7.6
136,MYS,2009,6.2,7.6
137,MYS,2008,6.2,7.6
138,MYS,2007,6.2,7.6
139,MYS,2006,6.2,7.6
140,MYS,2005,6.3,7.7
141,MYS,2004,6.4,7.8
142,MYS,2003,6.6,8.0
143,MYS,2002,6.8,8.4
144,MYS,2001,7.2,8.9
145,MYS,2000,7.8,9.6
146,MYS,1999,8.4,10.4
147,MYS,1998,9.0,11.2
148,MYS,1997,9.5,11.8
149,MYS,1996,9.9,12.3
150,MYS,1995,10.2,12.7
151,MYS,1994,10.6,13.2
152,MYS,1993,11.0,13.7
153,MYS,1992,11.5,14.4
154,MYS,1991,12.1,15.1
155,MYS,1990,12.6,15.8
156,MYS,1989,13.2,16.6
157,MYS,1988,13.9,17.4
158,MYS,1987,14.6,18.3
